Provider Number,Facility Name,Five Star,City,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Offers in-center hemodialysis,Offers peritoneal dialysis,Offers home hemodialysis training,Number of Dialysis Patients with Hgb data,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patients in Serum phosphorus summary,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patients in nPCR summary,SWR category text,Number of patients in this facility for SWR,Standardized First Kidney Transplant Waitlist Ratio,PPPW category text,Number of patients for PPPW
12570,DAVITA NORTHORT DIALYSIS,3,NORTHPORT,Profit,DAVITA,14,1,0,0,34,As Expected,64,87,89,As Expected,Better than Expected,As Expected,72,91,295,As Expected,As Expected,93,93,0,As Expected,48,0.2,As Expected,79
12571,DCI GEORGIANA,4,GEORGIANA,Non-Profit,"DIALYSIS CLINIC, INC.",10,1,0,0,19,As Expected,22,27,27,As Expected,As Expected,As Expected,27,45,118,As Expected,As Expected,27,27,0,Not Available,12,0,As Expected,24
12572,FMC CAMELLIA,2,GREENVILLE,Profit,FRESENIUS MEDICAL CARE,21,1,0,0,39,As Expected,58,77,81,As Expected,As Expected,As Expected,68,69,283,Better than Expected,As Expected,85,85,0,As Expected,28,1.35,As Expected,73
12573,DCI BIRMINGHAM,5,BIRMINGHAM,Non-Profit,"DIALYSIS CLINIC, INC.",16,1,1,0,22,As Expected,33,44,47,As Expected,As Expected,As Expected,35,29,164,As Expected,As Expected,47,47,0,Not Available,22,0,As Expected,34
12535,DAVITA PDI-PRATTVILLE,4,PRATTVILLE,Profit,DAVITA,16,1,0,0,33,As Expected,47,64,64,As Expected,As Expected,As Expected,53,62,232,Better than Expected,As Expected,65,65,0,As Expected,22,0,As Expected,55
12536,FMC MONTCLAIR,4,BIRMINGHAM,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,33,Worse than Expected,50,65,69,As Expected,As Expected,As Expected,52,74,217,As Expected,As Expected,69,69,0,Not Available,12,0,As Expected,55
12537,FMC PRICHARD,4,WHISTLER,Profit,FRESENIUS MEDICAL CARE,25,1,0,0,24,As Expected,66,108,110,As Expected,As Expected,As Expected,75,79,327,As Expected,As Expected,112,112,1,As Expected,60,0.44,As Expected,92
12538,RCG ANDALUSIA,4,ANDALUSIA,Profit,FRESENIUS MEDICAL CARE,21,1,1,1,49,As Expected,57,73,79,As Expected,As Expected,As Expected,69,113,246,As Expected,As Expected,70,70,0,As Expected,33,0,As Expected,62
12540,FMC MONROEVILLE (WHETSTONE),4,MONROEVILLE,Profit,FRESENIUS MEDICAL CARE,20,1,1,1,40,As Expected,60,76,81,As Expected,As Expected,As Expected,64,55,230,As Expected,As Expected,76,76,0,As Expected,29,0,As Expected,67
12541,FMC DADEVILLE,5,DADEVILLE,Profit,FRESENIUS MEDICAL CARE,15,1,0,0,33,As Expected,40,52,53,As Expected,As Expected,As Expected,43,26,195,As Expected,Better than Expected,53,53,0,Not Available,17,0,As Expected,37
12542,DAVITA RAINBOW CITY DIALYSIS,5,RAINBOW CITY,Profit,DAVITA,16,1,1,1,35,As Expected,44,72,77,As Expected,As Expected,As Expected,53,60,241,As Expected,As Expected,55,55,0,As Expected,34,0.71,As Expected,65
12543,DAVITA DEMOPOLIS DIALYSIS,4,DEMOPOLIS,Profit,DAVITA,15,1,1,0,44,As Expected,52,67,73,As Expected,As Expected,Worse than Expected,57,53,262,Better than Expected,Worse than Expected,68,68,0,As Expected,27,0.41,As Expected,63
12589,DAVITA BIRMINGHAM NORTH DIALYSIS,3,BIRMINGHAM,Profit,DAVITA,24,1,0,0,40,As Expected,61,96,96,As Expected,As Expected,As Expected,65,58,290,As Expected,Worse than Expected,97,97,0,Worse than Expected,32,0,As Expected,86
12590,DCI MOULTON,4,MOULTON,Non-Profit,"DIALYSIS CLINIC, INC.",12,1,0,0,20,As Expected,28,34,38,As Expected,As Expected,As Expected,32,31,148,As Expected,As Expected,35,35,0,Not Available,23,0,As Expected,27
12591,"NNA OF ALABAMA, INC",3,ALABASTER,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,28,As Expected,48,65,66,As Expected,As Expected,As Expected,55,61,212,As Expected,As Expected,66,66,0,Not Available,15,0,As Expected,53
12592,DAVITA BIRMINGHAM CENTRAL DIALYSIS,3,BIRMINGHAM,Profit,DAVITA,32,1,0,0,44,As Expected,58,85,87,As Expected,As Expected,As Expected,62,59,259,As Expected,As Expected,87,87,0,As Expected,36,0.84,As Expected,79
12593,FMC ODYSSEY DIALYSIS,5,MADISON,Profit,FRESENIUS MEDICAL CARE,15,1,0,0,31,As Expected,51,62,67,As Expected,As Expected,As Expected,56,48,213,Better than Expected,As Expected,67,67,0,As Expected,30,0.34,As Expected,55
12508,DAVITA BIRMINGHAM EAST DIALYSIS,3,BIRMINGHAM,Profit,DAVITA,20,1,0,0,24,As Expected,44,63,70,As Expected,As Expected,Worse than Expected,52,61,271,As Expected,As Expected,70,70,0,As Expected,43,0.53,As Expected,64
12509,FMC NORTH ALABAMA,3,HUNTSVILLE,Profit,FRESENIUS MEDICAL CARE,22,1,1,0,32,As Expected,53,77,78,As Expected,As Expected,As Expected,59,60,257,As Expected,As Expected,79,79,0,As Expected,44,0.67,As Expected,70
12512,FMC SELMA,4,SELMA,Profit,FRESENIUS MEDICAL CARE,26,1,0,0,48,As Expected,71,85,91,As Expected,As Expected,As Expected,74,69,290,As Expected,As Expected,83,83,0,As Expected,36,0.49,As Expected,70
12513,FMC LANGDALE,5,VALLEY,Profit,FRESENIUS MEDICAL CARE,19,1,0,0,36,As Expected,61,78,83,As Expected,As Expected,As Expected,66,52,249,As Expected,Better than Expected,83,83,0,As Expected,26,0.38,As Expected,69
12515,FMC OPELIKA,5,OPELIKA,Profit,FRESENIUS MEDICAL CARE,31,1,1,1,62,As Expected,110,148,155,As Expected,As Expected,As Expected,116,79,466,As Expected,Better than Expected,128,128,0,As Expected,59,1.48,As Expected,144
12558,DCI DECATUR,3,DECATUR,Non-Profit,"DIALYSIS CLINIC, INC.",24,1,0,0,41,As Expected,47,70,71,As Expected,As Expected,As Expected,60,68,471,As Expected,As Expected,70,70,0,As Expected,63,1.41,As Expected,47
12559,FMC UNIVERSITY SOUTH ALABAMA,3,MOBILE,Profit,FRESENIUS MEDICAL CARE,22,1,1,1,49,As Expected,63,105,112,As Expected,As Expected,As Expected,75,89,313,As Expected,As Expected,92,92,0,As Expected,43,0.31,As Expected,103
12561,FKC ARAB,5,ARAB,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,21,As Expected,39,59,70,As Expected,As Expected,As Expected,42,35,225,Better than Expected,As Expected,70,70,0,Not Available,34,0,As Expected,58
12562,DCI PELL CITY,4,PELL CITY,Non-Profit,"DIALYSIS CLINIC, INC.",15,1,0,0,15,As Expected,21,31,34,As Expected,As Expected,As Expected,22,15,105,As Expected,As Expected,35,35,0,Not Available,12,0,As Expected,30
12563,DCI CULLMAN,4,CULLMAN,Non-Profit,"DIALYSIS CLINIC, INC.",16,1,0,0,35,As Expected,65,72,85,As Expected,As Expected,As Expected,76,83,317,As Expected,As Expected,83,83,0,Not Available,56,0,As Expected,62
12565,DAVITA SOUTH BALDWIN DIALYSIS CENTER,3,FOLEY,Profit,DAVITA,13,1,0,1,13,As Expected,21,28,30,As Expected,As Expected,As Expected,23,45,84,As Expected,As Expected,31,31,0,Not Available,10,0,As Expected,31
12574,FMC CHAMBERS,5,LAFAYETTE,Profit,FRESENIUS MEDICAL CARE,10,1,0,0,20,As Expected,27,38,42,As Expected,As Expected,Better than Expected,32,25,129,As Expected,Better than Expected,42,42,0,Not Available,8,0,As Expected,31
12575,RCG WALKER,3,JASPER,Profit,FRESENIUS MEDICAL CARE,22,1,0,0,28,Worse than Expected,41,58,65,As Expected,As Expected,Worse than Expected,46,58,216,As Expected,As Expected,65,65,0,As Expected,31,0,As Expected,47
12576,DCI MONTGOMERY,3,MONTGOMERY,Non-Profit,"DIALYSIS CLINIC, INC.",24,1,1,0,33,As Expected,51,80,82,As Expected,As Expected,As Expected,61,60,307,As Expected,As Expected,74,74,0,Not Available,39,0,As Expected,71
12578,RCG SOUTHSIDE,3,BIRMINGHAM,Profit,FRESENIUS MEDICAL CARE,16,1,0,0,25,As Expected,48,59,59,As Expected,As Expected,As Expected,53,58,202,As Expected,As Expected,62,62,0,Not Available,16,0,As Expected,52
12633,FMC PRATTVILLE,3,PRATTVILLE,Profit,FRESENIUS MEDICAL CARE,18,1,1,1,31,Worse than Expected,50,83,95,As Expected,As Expected,As Expected,65,65,242,Better than Expected,As Expected,95,95,0,As Expected,43,0.28,As Expected,74
12634,FMC FOLEY,5,FOLEY,Profit,FRESENIUS MEDICAL CARE,16,1,0,0,29,As Expected,49,68,74,As Expected,As Expected,As Expected,55,70,201,As Expected,As Expected,73,73,0,Not Available,31,0,As Expected,68
12636,FMC JAGUAR,3,MOBILE,Profit,FRESENIUS MEDICAL CARE,26,1,0,0,61,As Expected,78,114,122,As Expected,As Expected,As Expected,87,118,371,As Expected,Worse than Expected,122,122,0,Worse than Expected,30,0,As Expected,106
12637,DCI HIGHLAND PARK,2,MONTGOMERY,Non-Profit,"DIALYSIS CLINIC, INC.",15,1,0,0,42,As Expected,58,79,79,As Expected,As Expected,As Expected,61,86,277,Better than Expected,As Expected,81,81,0,As Expected,43,0.35,As Expected,69
12638,FMC HOOVER,5,HOOVER,Profit,FRESENIUS MEDICAL CARE,12,1,0,0,30,As Expected,47,65,66,As Expected,As Expected,As Expected,55,60,173,Better than Expected,As Expected,66,66,0,Not Available,15,0,As Expected,48
12639,FMC MONTEVALLO,4,MONTEVALLO,Profit,FRESENIUS MEDICAL CARE,10,1,0,0,11,As Expected,25,41,46,As Expected,As Expected,As Expected,26,25,109,As Expected,As Expected,46,46,0,Not Available,19,0,As Expected,39
12640,DAVITA PICKENS COUNTY DIALYSIS,3,CARROLLTON,Profit,DAVITA,14,1,0,0,43,As Expected,59,71,74,As Expected,As Expected,As Expected,61,60,207,As Expected,Worse than Expected,74,74,0,Worse than Expected,32,0,As Expected,64
12597,FMC BAY MINETTE,4,BAY MINETTE,Profit,FRESENIUS MEDICAL CARE,18,1,1,0,19,As Expected,39,54,56,As Expected,As Expected,As Expected,44,42,189,As Expected,As Expected,57,57,0,Not Available,20,0,As Expected,51
12598,DCI PHENIX CITY,5,PHENIX CITY,Profit,"DIALYSIS CLINIC, INC.",12,1,0,0,36,As Expected,36,50,52,As Expected,As Expected,As Expected,44,45,186,As Expected,As Expected,54,54,0,Not Available,19,0,As Expected,43
12599,FMC PORT CITY,3,MOBILE,Profit,FRESENIUS MEDICAL CARE,20,1,0,0,31,As Expected,57,90,100,As Expected,Worse than Expected,Worse than Expected,68,112,297,Better than Expected,As Expected,101,101,0,As Expected,47,0.64,As Expected,83
12600,DAVITA ATMORE DIALYSIS CENTER,4,ATMORE,Profit,DAVITA,10,1,0,0,25,As Expected,34,48,52,As Expected,As Expected,Worse than Expected,40,37,171,As Expected,As Expected,53,53,0,Not Available,17,0,As Expected,48
12601,FMC WEST,3,BIRMINGHAM,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,31,As Expected,61,93,97,As Expected,As Expected,As Expected,66,89,285,Better than Expected,Worse than Expected,97,97,0,As Expected,42,0,As Expected,80
12602,DAVITA RUSSELLVILLE DIALYSIS,5,RUSSELLVILLE,Profit,DAVITA,10,1,0,0,24,As Expected,45,53,57,As Expected,As Expected,Worse than Expected,48,45,159,As Expected,As Expected,58,58,0,Not Available,16,0,As Expected,45
12603,FMC FAIRFIELD (STEEL CITY),2,FAIRFIELD,Profit,RENAL CARE GROUP INC.,12,1,0,0,16,As Expected,36,55,54,As Expected,As Expected,As Expected,42,43,160,As Expected,Worse than Expected,57,57,0,Not Available,19,0,As Expected,45
12604,RCG CLANTON,3,CLANTON,Profit,FRESENIUS MEDICAL CARE,12,1,0,0,26,As Expected,40,60,62,As Expected,As Expected,As Expected,45,65,185,As Expected,As Expected,62,62,0,Not Available,15,0,As Expected,53
12544,DAVITA OZARK DIALYSIS,5,OZARK,Profit,DAVITA,19,1,0,0,33,As Expected,43,57,61,As Expected,As Expected,As Expected,49,36,214,As Expected,As Expected,63,63,0,Not Available,19,0,As Expected,45
12545,DAVITA TUSCALOOSA DIALYSIS,3,TUSCALOOSA,Profit,DAVITA,19,1,1,1,47,As Expected,78,95,98,As Expected,As Expected,As Expected,83,109,362,As Expected,Worse than Expected,101,101,0,Worse than Expected,76,0.33,As Expected,88
12546,FMC TUSKEGEE,5,TUSKEGEE,Profit,FRESENIUS MEDICAL CARE,28,1,0,0,30,Worse than Expected,38,67,70,As Expected,As Expected,As Expected,45,22,232,As Expected,As Expected,69,69,0,Not Available,21,0,As Expected,65
12547,FMC EASTERN SHORE,5,FAIRHOPE,Profit,FRESENIUS MEDICAL CARE,24,1,1,1,34,As Expected,51,91,96,As Expected,As Expected,As Expected,61,78,273,As Expected,As Expected,95,95,0,As Expected,49,0.64,As Expected,76
12548,DAVITA FAYETTE DIALYSIS,5,FAYETTE,Profit,DAVITA,10,1,0,0,26,As Expected,30,36,38,As Expected,As Expected,As Expected,36,38,151,As Expected,As Expected,38,38,0,Not Available,22,0,As Expected,29
12550,DAVITA GREENE COUNTY DIALYSIS,4,EUTAW,Profit,DAVITA,12,1,0,0,34,As Expected,38,48,49,As Expected,As Expected,As Expected,41,53,200,As Expected,As Expected,49,49,0,Not Available,18,0,As Expected,41
12551,DAVITA SHEFFIELD DIALYSIS,4,SHEFFIELD,Profit,DAVITA,12,1,0,0,38,As Expected,50,59,64,As Expected,As Expected,As Expected,52,69,228,As Expected,As Expected,65,65,0,Not Available,31,0,As Expected,54
12552,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,3,MOBILE,Profit,FRESENIUS MEDICAL CARE,25,1,0,0,43,As Expected,79,117,122,As Expected,As Expected,As Expected,91,114,317,As Expected,Worse than Expected,124,124,0,As Expected,46,0.46,As Expected,110
12553,DAVITA PDI-ELMORE COUNTY,5,WETUMPKA,Profit,DAVITA,10,1,0,0,19,As Expected,32,48,52,As Expected,As Expected,As Expected,38,34,133,As Expected,As Expected,52,52,0,Not Available,12,0,As Expected,43
12556,"NNA OF ALABAMA, INC",5,PELL CITY,Profit,FRESENIUS MEDICAL CARE,13,1,0,0,19,As Expected,33,49,55,As Expected,As Expected,As Expected,38,32,157,As Expected,As Expected,55,55,0,Not Available,20,0,As Expected,37
12622,DAVITA TALLADEGA DIALYSIS,4,TALLADEGA,Profit,DAVITA,13,1,1,1,22,As Expected,39,47,49,As Expected,As Expected,As Expected,42,38,158,As Expected,As Expected,44,44,0,Not Available,12,0,As Expected,38
12623,DAVITA CENTER POINT DIALYSIS,3,CENTER POINT,Profit,DAVITA,16,1,0,0,28,As Expected,43,60,65,As Expected,As Expected,Worse than Expected,45,59,189,As Expected,As Expected,65,65,0,As Expected,23,0.41,As Expected,52
12624,FMC MIDFIELD DIALYSIS,3,BIRMINGHAM,Profit,FRESENIUS MEDICAL CARE,24,1,0,0,49,Worse than Expected,70,99,100,As Expected,As Expected,As Expected,79,113,308,As Expected,Worse than Expected,100,100,0,As Expected,41,0,As Expected,84
12625,RAI JACKSONVILLE,3,JACKSONVILLE,Profit,FRESENIUS MEDICAL CARE,16,1,0,0,38,As Expected,57,67,71,As Expected,As Expected,As Expected,66,54,258,As Expected,As Expected,71,71,0,As Expected,29,0.41,As Expected,52
12626,FMC NORTHWEST ALABAMA KIDNEY CENTER,5,WINFIELD,Profit,FRESENIUS MEDICAL CARE,10,1,1,1,10,As Expected,27,32,35,As Expected,As Expected,As Expected,29,35,111,As Expected,As Expected,35,35,0,Not Available,10,0,As Expected,30
12627,DAVITA HOME DIALYSIS OPTIONS OF BALDWIN COUNTY PD,,DAPHNE,Profit,DAVITA,4,0,1,1,3,Not Available,7,9,9,As Expected,Not Available,Not Available,8,6,39,Not Available,Not Available,3,3,0,Not Available,1,0,Not Available,8
12628,DAVITA OPELIKA DIALYSIS CENTER,3,OPELIKA,Profit,DAVITA,10,1,1,1,14,As Expected,23,30,29,As Expected,As Expected,As Expected,23,22,111,As Expected,As Expected,24,24,0,Not Available,10,0,As Expected,27
12629,DAVITA RENAISSANCE DIALYSIS,5,FLORENCE,Profit,DAVITA,10,1,1,1,29,As Expected,43,52,58,As Expected,As Expected,As Expected,46,58,137,As Expected,As Expected,57,57,0,Not Available,14,0,As Expected,46
12630,DAVITA WIREGRASS KIDNEY CENTER,3,DOTHAN,Profit,DAVITA,20,1,0,0,38,As Expected,55,76,80,As Expected,As Expected,As Expected,62,87,268,As Expected,As Expected,80,80,0,As Expected,44,0.2,As Expected,77
12631,DAVITA GULF SHORES DIALYSIS CENTER,5,GULF SHORES,Profit,DAVITA,8,1,1,0,13,As Expected,22,32,30,As Expected,As Expected,As Expected,24,22,107,As Expected,As Expected,21,21,0,Not Available,6,0,As Expected,44
12632,DAVITA MUSCLE SHOALS DIALYSIS,3,MUSCLE SHOALS,Profit,DAVITA,10,1,0,0,11,Not Available,17,23,24,As Expected,As Expected,As Expected,19,24,63,As Expected,As Expected,24,24,0,Not Available,8,0,As Expected,17
12659,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",4,BIRMINGHAM,Profit,FRESENIUS MEDICAL CARE,13,1,0,0,21,As Expected,36,56,61,As Expected,As Expected,As Expected,42,55,194,As Expected,As Expected,61,61,0,Not Available,16,0,As Expected,55
12660,"FRESENIUS KIDNEY CARE ATTALLA, LLC",5,ATTALLA,Profit,FRESENIUS MEDICAL CARE,10,1,1,1,24,As Expected,34,41,49,As Expected,As Expected,As Expected,38,43,176,As Expected,As Expected,48,48,0,As Expected,32,0.39,As Expected,34
12661,DAVITA HOKES BLUFF DIALYSIS,3,GADSDEN,Profit,DAVITA,10,1,0,0,14,As Expected,23,25,29,As Expected,As Expected,As Expected,24,34,100,As Expected,As Expected,30,30,0,Not Available,14,0,As Expected,25
