Facility_Name,CMS_Certification_Number,PY2020_Payment_Reduction_Percentage,Total_Performance_Score
FMC SYLACAUGA,12566,0,67
FMC PARKWAY,12568,0,72
NORTHPORT DIALYSIS,12570,0.005,50
DCI GEORGIANA,12571,0,78
FMC CAMELLIA,12572,0.01,44
DCI BIRMINGHAM,12573,0,72
FMC CHAMBERS,12574,0,83
RCG WALKER,12575,0.01,44
DCI MONTGOMERY,12576,0.01,48
RCG SOUTHSIDE,12578,0.015,36
FMC DAUPHIN ISLAND PKWY,12579,0.005,52
FMC THOMASVILLE,12580,0.01,46
FMC WILCOX,12582,0,88
BESSEMER DIALYSIS,12583,0.005,54
ENSLEY DIALYSIS,12585,0.005,52
SYLACAUGA DIALYSIS,12588,0.01,42
BIRMINGHAM NORTH DIALYSIS,12589,0.005,52
DCI MOULTON,12590,0.005,56
FMC SHELBY,12591,0,61
BIRMINGHAM CENTRAL DIALYSIS,12592,0.01,45
FMC ODYSSEY DIALYSIS,12593,0,60
BOAZ DIALYSIS,12594,0,73
RCG FORT PAYNE,12595,0,90
FKC MONTGOMERY,12596,0.01,39
FMC BAY MINETTE,12597,0.005,57
DCI PHENIX CITY,12598,0,83
FMC PORT CITY,12599,0.01,48
ATMORE DIALYSIS CENTER,12600,0.01,48
FMC WEST,12601,0.005,53
RUSSELLVILLE DIALYSIS,12602,0,64
FMC FAIRFIELD (STEEL CITY),12603,0,65
RCG CLANTON,12604,0,76
FMC CHASE,12606,0.01,46
ROANOKE DIALYSIS CLINIC,12607,0,92
RCG ONEONTA,12608,0,89
EUFAULA DIALYSIS,12609,0,87
FMC MAGNOLIA,12610,0.005,57
FMC DALLAS COUNTY,12611,0,73
FMC GARDENDALE,12612,0,63
FMC DISCOVERY,12613,0,72
FMC VALLEY CREEK,12614,0.005,55
FMC AUBURN,12615,0,70
LANDMARK DIALYSIS,12616,0.005,51
FMC ALEXANDER CITY,12617,0,84
RRC NORTHRIDGE,12618,0.015,33
TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS,12619,0,78
HOME DIALYSIS OF NORTH ALABAMA,12620,0.01,43
RAI-SNOW ST-OXFORD,12621,0.01,39
DAVITA TALLADEGA,12622,0,76
DAVITA CENTER POINT DIALYSIS,12623,0,66
FMC MIDFIELD DIALYSIS,12624,0,75
RAI JACKSONVILLE,12625,0,59
FMC NORTHWEST ALABAMA KIDNEY CENTER,12626,0,71
HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,12627,0,61
OPELIKA DIALYSIS CENTER,12628,0,65
DAVITA RENAISSANCE,12629,0,72
DAVITA WIREGRASS KIDNEY CENTER,12630,0,62
GULF SHORES DIALYSIS CENTER,12631,0,94
MUSCLE SHOALS DIALYSIS,12632,0,63
FMC PRATTVILLE,12633,0.01,47
FMC FOLEY,12634,0,67
FMC JAGUAR,12636,0.01,43
DCI HIGHLAND PARK,12637,0.01,47
FMC HOOVER,12638,0,85
FMC MONTEVALLO,12639,0.005,52
PICKENS COUNTY DIALYSIS,12640,0,65
DCI EVERGREEN,12641,0,74
DAVITA ENTERPRISE,12642,0,64
ENDEAVOR DIALYSIS,12643,0,80
JEWEL DIALYSIS,12644,0.01,39
MAGIC CITY DIALYSIS,12645,0,67
STEEL CITY DIALYSIS,12646,0,91
CROWN DIALYSIS,12647,0,62
"FRESENIUS KIDNEY CARE GADSDEN ACQ, LLC",12648,0.005,49
"FRESENIUS KIDNEY CARE UNION SPRINGS, LLC",12649,0.01,48
RENAL TREATMENT CENTERS SOUTHEAST LP,12650,0,70
FMC FORESTDALE,12651,0.01,44
LEEDS DIALYSIS,12652,0,89
"FRESENIUS KIDNEY CARE PHENIX CITY, LLC",12653,0.005,58
BIO-MEDICAL APPLICATIONS OF ALABAMA,12654,0.005,51
RENAL TREATMENT CENTERS SOUTHEAST LP,12655,0,88
DCI MITYLENE PARK,12656,0,67
"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC",12657,0.01,45
RENAL TREATMENT CENTERS SOUTHEAST LP,12658,0.005,57
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",12659,0,61
"FRESENIUS KIDNEY CARE ATTALLA, LLC",12660,0,67
"RTC-SOUTHEAST, LP",12661,0,67
FRESENIUS MEDICAL CARE,12662,0,71
RENAL TREATMENT CENTERS SOUTHEAST LP,12663,0,67
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",12664,0,61
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12665,0,66
"RTC-SOUTHEAST, LP",12666,0,80
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC.",12667,0,85
"BAGBY DIALYSIS, LLC",12668,0,69
"FARRAGUT DIALYSIS, INC",12669,0.015,31
DVA RENAL HEALTHCARE INC,12670,0.005,54
"FRESENIUS MEDICAL CARE HUNTSVILLE HOME, LLC",12671,0,65
"FRESENIUS MEDICAL CARE WEST MADISON, LLC",12672,0.005,52
CURECANTI DIALYSIS LLC,12673,0.01,39
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC",12674,0,79
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12676,0,59
"DIALYSIS CLINIC, INC",12677,0,92
"FRESENIUS MEDICAL CARE MCCALLA, LLC",12678,0.005,54
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12679,0,73
BIO-MEDICAL APPLICATIONS OF ALABAMA,12680,0,74
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",12681,0,62
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",12682,0.005,57
"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC",12684,0,64
"SPREWELL DIALYSIS, LLC",12685,0,94
"FRESENIUS MEDICAL CARE ANNISTON HOME, LLC",12686,0,67
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",12687,0,69
"FRESENIUS MEDICAL CARE TRUSSVILLE, LLC",12688,0.01,44
BIO MEDICAL APPLICATIONS OF ALABAMA INC,12689,0,0
BIO MEDICAL APPLICATIONS OF ALABAMA INC,12690,0,83
BIO MEDICAL APPLICATIONS OF ALABAMA INC,12692,0,61
"RENAL TREATMENT CENTERS SOUTHEAST, LP",12693,0,63
RENAL TREATMENT CENTERS SOUTHEAST LP,12694,0,95
BIO MEDICAL APPLICATIONS OF ALABAMA,12695,0,61
BIO-MEDICAL APPLICATIONS OF ALABAMA,12696,0,75
RENAL TREATMENT CENTERS SOUTHEAST LP,12697,0,75
PHYSICIANS CHOICE DIALYSIS OF LUVERNE,12698,0.02,12
"DIALYSIS SERVICES OF DECATUR, LLC",12699,0,75
CAPANO DIALYSIS LLC,12700,0,0
RENAL TREATMENT CENTERS SOUTHEAST LP,12701,0,0
"CHEROKEE COMMUNITY DIALYSIS, LLC",12702,0,60
"DIALYSIS CLINIC, INC.",12703,0,0
FMC ANCHORAGE,22500,0,66
FMC FAIRBANKS,22502,0,77
FMC WASILLA,22503,0,83
REIFENSTEIN DIALYSIS CENTER,22504,0,87
LIBERTY DIALYSIS - ALASKA LLC,22506,0,78
FMC COOK INLET,22507,0,81
FMC SOLDOTNA,22508,0,84
DENALI DIALYSIS CENTER,22509,0,78
TUDOR DIALYSIS,22510,0,61
032302 MARICOPA MEDICAL CTR - DIALYSIS,32302,0,78
032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER,32314,0,62
032315 GILA RIVER DIALYSIS EAST,32315,0,76
032316 BANNER UNIVERSITY MEDICAL CENTER PEDIATRIC OUTPATI,32316,0.02,0
032500 TUCSON WEST DIALYSIS (DVA),32500,0,62
032501 TUCSON EAST DIALYSIS (DVA),32501,0.005,54
032502 YUMA DIALYSIS (DVA),32502,0,71
032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),32503,0,73
032506 TUBA CITY DIALYSIS UNIT (DVA),32506,0.005,55
032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),32508,0,59
032509 EAST VALLEY DIALYSIS (FMC),32509,0.005,54
032513 SELLS DIALYSIS (DVA),32513,0,67
032514 DESERT DIALYSIS CENTER (DCI),32514,0.005,56
032516 CHANDLER DIALYSIS (FMC),32516,0.005,51
032517 CENTRAL PHX DIALYSIS (FMC),32517,0.01,48
032518 FOUR CORNERS DIALYSIS CLINIC CHINLE (DVA),32518,0.005,56
032520 SIERRA VISTA DIALYSIS (DVA),32520,0.01,42
032521 DIALYSIS CENTER OF GLENDALE (FMC),32521,0.005,52
032522 PARKER DIALYSIS CENTER (FMC),32522,0,69
032523 PRESCOTT DIALYSIS (DVA),32523,0,62
032524 FLAGSTAFF DIALYSIS CENTER (FMC),32524,0,68
032525 DESERT MOUNTAIN DIALYSIS (DVA),32525,0,65
032526 SOUTHWEST MESA DIALYSIS (DSI),32526,0,72
032528 THUNDERBIRD DIALYSIS (FMC),32528,0,75
032530 DESERT VALLEY DIALYSIS (FMC),32530,0,59
032533 GLOBE DIALYSIS (FMC),32533,0,81
032535 HOME DIALYSIS OF MESA (FMC),32535,0.01,44
032536 WINSLOW DIALYSIS CENTER (FMC),32536,0.005,56
032537 ESTRELLA DIALYSIS CENTER (FMC),32537,0.005,53
032539 MESA DIALYSIS CENTER (FMC),32539,0,77
032540 FRESENIUS KIDNEY CARE WESTERN SKIES,32540,0.015,34
032541 TEMPE DIALYSIS (FMC),32541,0.005,55
032542 ARCADIA DIALYSIS CENTER (FMC),32542,0,63
032543 NOGALES DIALYSIS (DVA),32543,0,73
032544 LAKE HAVASU DIALYSIS (FMC),32544,0,82
032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC),32545,0.01,46
032546 SUN CITY WEST DIALYSIS (FMC),32546,0.005,57
032547 SUN CITY DIALYSIS (FMC),32547,0,72
032549 SAFFORD DIALYSIS (FMC),32549,0,62
032550 NORTH PHOENIX DIALYSIS (FMC),32550,0.005,49
032551 MESA DIALYSIS (DSI),32551,0,61
032552 ARROWHEAD DIALYSIS (FMC),32552,0,63
032553 PAPAGO DIALYSIS (DVA),32553,0,62
032556 SOUTH YUMA DIALYSIS (DVA),32556,0,69
032557 TUCSON SOUTH DIALYSIS (DVA),32557,0,73
032558 BULLHEAD CITY DIALYSIS (FMC),32558,0.005,52
032559 FOUR CORNERS DIAL CLINIC KAYENTA (DVA),32559,0,61
032561 CASA GRANDE DIALYSIS (FMC),32561,0,64
032562 COTTONWOOD DIALYSIS (DVA),32562,0,67
032563 SCOTTSDALE DIALYSIS (FMC),32563,0,71
032564 MARYVALE DIALYSIS (FMC),32564,0.01,47
032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI),32565,0,67
032568 RED MOUNTAIN DIALYSIS (FMC),32568,0.005,53
032571 NORTH SCOTTSDALE DIALYSIS (FMC),32571,0.01,44
032572 DESERT DIALYSIS SRVS INC-SUN CITY (DVA),32572,0.005,58
032573 PASCUA YAQUI DIALYSIS (DVA),32573,0,79
032575 SHOW LOW DIALYSIS (FMC),32575,0,74
032577 YAVAPAI DIALYSIS (FMC),32577,0.01,46
032578 APACHE JUNCTION DIALYSIS (FMC),32578,0,65
032579 SUN LAKES DIALYSIS (FMC),32579,0,78
032580 PALM VALLEY DIALYSIS (FMC),32580,0.005,56
032581 AK-CHIN DIALYSIS (FMC),32581,0,75
032583 SOUTH PHOENIX DIALYSIS (DSI),32583,0.01,43
032587 DEER VALLEY DIALYSIS (FMC),32587,0,75
032589 TUCSON SOUTH CENTRAL DIALYSIS (DVA),32589,0,80
032592 HOPI DIALYSIS CENTER (DVA),32592,0,69
032593 GRANITE VALLEY DIALYSIS (FMC),32593,0,61
032594 SALT RIVER DIALYSIS CENTER (FMC),32594,0,73
032596 NORTHEAST PHOENIX DIALYSIS (DSI),32596,0,60
032597 SAN CARLOS DIALYSIS (FMC),32597,0,75
032598 MAMMOTH DIALYSIS (FMC),32598,0,69
032599 AHWATUKEE DIALYSIS (FMC),32599,0.005,50
032601 PALM BROOK DIALYSIS CENTER (DVA),32601,0,68
032604 SOUTHWEST KIDNEY DIALYSIS - ARROWHEAD LAKES (DVA),32604,0.01,46
032605 SOUTHWEST KIDNEY DIALYSIS - GILBERT (DVA),32605,0,66
032607 AVONDALE DIALYSIS (FMC),32607,0,76
032608 AVONDALE DIALYSIS (DSI),32608,0,78
032609 SOUTHWEST KIDNEY DIALYSIS - TEMPE (DVA),32609,0,63
032610 SOUTHEAST VALLEY DIALYSIS (FMC),32610,0,59
032611 SOUTHWEST KIDNEY DIALYSIS - PHOENIX (DVA),32611,0,71
032612 SOUTHWEST KIDNEY DIALYSIS - ESTRELLA (DVA),32612,0,62
032613 NORTHWEST TUCSON DIALYSIS (FMC),32613,0,61
032614 DOUGLAS DIALYSIS CENTER (DCI),32614,0,62
032615 RIM COUNTRY DIALYSIS (DVA),32615,0,67
032616 DESERT DIALYSIS SAHUARITA (DCI),32616,0.005,52
032617 TUCSON WEST DIALYSIS CENTER (FMC),32617,0.005,49
032618 NORTHWEST TUCSON DIALYSIS (DVA),32618,0,72
032619 MOUNTAIN VISTA DIALYSIS OF ARIZONA (DVA),32619,0,62
032620 GRAND HOME DIALYSIS (DVA),32620,0,68
032621 WEST BROOK DIALYSIS (DVA),32621,0.005,56
032622 GOODYEAR DIALYSIS (FMC),32622,0,61
032624 SOUTHWEST KIDNEY CENTRAL MESA (DVA),32624,0.01,42
032625 RAVEN DIALYSIS CENTER (DVA),32625,0,80
032626 MIDVALE PARK DIALYSIS (FMC),32626,0,62
032627 TUCSON CENTRAL DIALYSIS (DVA),32627,0,68
032628 KINGMAN DIALYSIS CLINIC (FMC),32628,0.005,55
032629 SOUTH TUCSON DIALYSIS (FMC),32629,0,71
032630 BROOKWOOD DIALYSIS CLINIC (DVA),32630,0,71
032631 OCOTILLO DIALYSIS (DVA),32631,0,70
032632 RITA RANCH DIALYSIS (DVA),32632,0,82
032633 SANTAN DIALYSIS (FMC),32633,0,68
032634 SOUTHWEST KIDNEY DIALYSIS - MARYVALE (DVA),32634,0.01,48
032635 GILBERT DIALYSIS (FMC),32635,0.005,49
032636 DSI FLAGSTAFF,32636,0,79
032637 WICKENBURG DIALYSIS (DVA),32637,0,85
032638 POWER ROAD DIALYSIS (DVA),32638,0.005,55
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)",32639,0.005,58
032640 SWEETWATER RIDGE DIALYSIS (DVA),32640,0.005,49
032641 SCOTTSDALE DIALYSIS (DVA),32641,0.01,44
032642 SOUTHWEST KIDNEY/DAVITA-PHOENIX HOME DIALYSIS (DVA,32642,0,82
032643 EAST TUCSON (FMC),32643,0,66
032644 EDGE RIVER (DVA),32644,0,66
"032645 SOUTHWEST KIDNEY DAVITA DIALYSIS PARTNERS, LLC",32645,0,78
032646-FMC-GLENDALE TOWN CENTER,32646,0.005,56
032647-FMC NORTH MOUNTAIN,32647,0,86
032648-FMC OLD TOWN SCOTTSDALE,32648,0.01,47
032649 PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC,32649,0.005,50
032650 FRESENIUS KIDNEY CARE DESERT SAGE,32650,0,63
032651-SWAN DIALYSIS,32651,0.01,48
032652-DAVITA ORO VALLEY DIALYSIS,32652,0,0
033503 GILA RIVER DIALYSIS WEST,33503,0,79
033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS,33504,0,89
ST BERNARDS REGIONAL MED CTR-DIALYSIS,42303,0,73
ARKANSAS CHILDRENS HOSPITAL-DIALYSIS,42310,0,76
FT SMITH REGIONAL DIALYSIS CTR,42501,0.005,49
DAVITA - OUACHITA DIALYSIS,42507,0.01,47
DAVITA - RIVER VALLEY DIALYSIS,42508,0,61
FMCNA - HELENA,42510,0,65
DAVITA - DEGRAY KIDNEY CTR,42512,0,61
DAVITA - SPRINGHILL DIALYSIS,42513,0.005,52
DAVITA - SEARCY DIALYSIS CTR,42514,0,67
KIDNEY DISEASE AND DIALYSIS CLINIC OF MAGNOLIA,42515,0,87
DAVITA - CONWAY DIALYSIS CTR,42517,0.01,42
FMCNA - FAULKNER COUNTY,42518,0.005,51
FMCNA - LITTLE ROCK DIALYSIS,42521,0.005,53
DAVITA - OUACHITA VALLEY DIALYSIS,42525,0.005,55
FKC - LAKE VILLAGE,42527,0,62
FMCNA - EAST ARKANSAS,42528,0.005,58
DAVITA - HOT SPRINGS DIALYSIS,42531,0.005,57
FMCNA - PINE BLUFF,42532,0,65
FMCNA - ST FRANCIS COUNTY DIALYSIS,42533,0.005,57
DAVITA - OSCEOLA RENAL CTR,42534,0.005,55
DAVITA - PULASKI COUNTY DX,42535,0,62
DAVITA - SOUTH ARKANSAS DIALYSIS -EL DORADO,42536,0,67
FMCNA - STUTTGART DIALYSIS,42537,0.005,50
DAVITA - FAYETTEVILLE,42539,0,63
DAVITA - BENTONVILLE,42540,0,68
FMCNA - MONTICELLO,42543,0,63
DAVITA - SW ARKANSAS DIALYSIS-MAGNOLIA,42545,0,74
DAVITA - LITTLE ROCK MIDTOWN DIALYSIS,42547,0.01,48
DAVITA - NORTH LITTLE ROCK DIALYSIS CTR,42548,0,63
DAVITA - SILOAM SPRINGS,42549,0.005,58
FMCNA - BLYTHEVILLE,42550,0,65
DAVITA - JACKSONVILLE CENTRAL DIALYSIS CTR,42553,0.005,55
DAVITA - JACKSON COUNTY DX,42554,0,71
FMCNA - BENTON,42556,0,65
DAVITA - INDEPENDENCE COUNTY DX,42557,0,69
DAVITA - SALINE COUNTY DIALYSIS,42558,0.01,44
DAVITA - ASHLEY DIALYSIS CTR,42560,0,79
US RENAL CARE OF NORTHEAST AR - PARAGOULD,42562,0.01,39
DAVITA - HEMPSTEAD COUNTY DIALYSIS UNIT,42563,0,74
US RENAL CARE - PINE BLUFF,42564,0.015,33
XCLOSED - PINE BLUFF DIALYSIS - KIDNEY CTR OF MCGEHEE,42565,0,62
RVM - RENAL CTR OF MTN HOME,42567,0,70
DAVITA - SPRINGDALE,42568,0,62
HOPE DIALYSIS CENTER,42569,0.005,49
DAVITA - MALVERN DIALYSIS,42570,0,67
DAVITA - LITTLE ROCK DIALYSIS,42571,0.01,48
DAVITA - RENAL CARE OF MARION,42573,0.01,40
NORTH HILLS DIALYSIS,42574,0.005,53
BENTON COUNTY DIALYSIS CTR,42575,0.005,58
DAVITA - BRADLEY COUNTY DIALYSIS,42576,0,85
NEA BAPTIST CLINIC - MIDDLEFIELD,42577,0.015,34
DAVITA - MILLER COUNTY DIALYSIS,42578,0,69
DIALYSIS CENTER OF SILOAM SPRINGS,42580,0,85
"VAMANA, INC",42581,0.02,24
DAVITA - MENA DIALYSIS,42582,0,66
DCI - MCCRORY,42583,0,89
HARRISON DIALYSIS,42584,0,61
DAVITA - FORREST CITY,42585,0.01,48
DAVITA - ROGERS DIALYSIS,42586,0,76
NEA BAPTIST CLINIC - HILLTOP,42588,0,59
FMCNA - EAST LITTLE ROCK,42589,0.01,45
DAVITA - SOUTH LITTLE ROCK,42590,0.01,47
WESTSIDE DIALYSIS UNIT LLC,42591,0.015,38
DCI - LITTLE ROCK RENAL SERVICES LLC,42592,0.015,36
ARKANSAS STAFF ASSISTED HEMODIALYSIS CLINIC,42593,0.005,57
DAVITA - POCAHONTAS,42595,0,68
HIDDEN SPRINGS DIALYSIS CTR,42596,0,79
DAVITA - DIAMOND STATE DIALYSIS,42597,0,0
DAVITA - COLLEGE CITY DIALYSIS,42598,0,0
ST BERNARDS-WYNNE,43501,0,80
ST. BERNARDS MEDICAL CENTER - OSCEOLA DIALYSIS,43502,0,75
SANTA CLARA VALLEY RENAL CARE CENTER,52305,0,69
CHILDRENS HOSPITAL OF LOS ANGELES,52321,0.005,54
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- SUNSET,52323,0.015,34
ARROWHEAD REGIONAL MEDICAL CENTER,52334,0,69
ST. JOSEPH HOSPITAL RENAL CENTER,52368,0,66
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- FONTANA,52380,0.015,36
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WOODLAND HILLS,52381,0,59
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- RIVERSIDE,52382,0.01,47
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- WEST LOS ANGELES,52384,0.015,33
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- DOWNEY,52389,0.01,45
LUCILE PACKARD STANFORD PEDIATRIC DIALYSIS,52390,0.02,16
KAISER PERMANENTE - SANTA CLARA,52392,0.02,26
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ANAHEIM,52394,0.01,42
CHILDRENS HOSPITAL OF SAN DIEGO,52395,0.01,44
KAISER HOSPITAL ESRD PD UNIT,52398,0.005,49
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- BALDWIN PARK,52399,0.015,34
CHILDRENS HOSPITAL CENTRAL CALIFORNIA,52400,0,0
SIERRA VIEW DISTRICT HOSPITAL DIALYSIS CENTER,52401,0,67
KAISER PERMANENTE MARTINEZ,52403,0.015,30
KAISER FOUNDATION HOSPITAL MEDICAL CTR.- ONTARIO,52404,0,62
UC DAVIS MEDICAL CENTER PEDIATRIC,52405,0,0
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL PEDIATRIC CHRON,52406,0,75
FMC-HILLCREST DIALYSIS,52500,0,70
DAVITA-KIDNEY DIALYSIS CARE UNIT,52502,0.005,49
DAVITA-MAIN PLACE DIALYSIS CENTER,52503,0,74
DAVITA-FULLERTON DIALYSIS,52505,0,75
RAI HAIGHT,52507,0.005,51
FMC-SANTA BARBARA COMMUNITY DIALYSIS CENTER,52513,0,85
SATELLITE DIALYSIS STEVENS CREEK,52514,0,69
LOS ALAMITOS HEMODIALYSIS CENTER,52515,0.005,52
DAVITA-ANTELOPE VALLEY DIALYSIS,52521,0.01,42
"MOBILE DIALYSIS SERVICES, INC. (COMPTON)",52522,0.015,33
FMC-LONG BEACH,52523,0.005,52
BMA SANTA ROSA,52524,0.005,51
DAVITA-ESCONDIDO DIALYSIS,52525,0,82
SATELLITE DIALYSIS GREENBRAE,52526,0,67
REDDING DIALYSIS CENTER,52528,0.005,58
SATELLITE DIALYSIS MODESTO,52531,0,71
DAVITA-RIVERSIDE DIALYSIS CENTER,52532,0.01,43
RAI - EAST BAY - OAKLAND,52534,0.005,58
FMC-NATIONAL CITY DIALYSIS CENTER,52536,0,71
DAVITA-INGLEWOOD DIALYSIS,52538,0.005,53
DAVITA-LAKEWOOD DIALYSIS CENTER,52539,0,69
DAVITA-PALM SPRINGS DIALYSIS,52541,0,60
FMC EUREKA,52543,0,69
FMC-CULVER CITY DIALYSIS,52544,0,73
U.S. RENAL CARE NORTHRIDGE DIALYSIS,52545,0.005,57
DALY CITY DIALYSIS CENTER,52546,0,78
FMC-BURBANK,52549,0,69
LOMA LINDA UNIVERSITY KIDNEY CENTER,52550,0,70
DAVITA-UPLAND DIALYSIS,52552,0,64
CHICO DIALYSIS CENTER,52553,0,60
DAVITA-VALLEY DIALYSIS CENTER,52554,0.005,51
SATELLITE DIALYSIS SANTA CRUZ,52555,0,69
U.S. RENAL CARE SKYPARK DIALYSIS,52556,0,74
HOLY CROSS RENAL CENTER,52558,0,81
SAN PABLO DIALYSIS CENTER,52560,0,65
DAVITA-VICTOR VALLEY DIALYSIS,52561,0.01,48
YUBA CITY DIALYSIS CENTER,52563,0,70
DAVITA-GARFIELD HEMODIALYSIS CENTER,52564,0,59
SILVERADO DIALYSIS,52565,0.005,50
VALLEJO DIALYSIS CENTER,52567,0,65
PLEASANTON DIALYSIS CENTER,52568,0,81
SOUTH SACRAMENTO DIALYSIS CENTER,52569,0,73
UNION CITY DIALYSIS CENTER,52571,0,73
SATELLITE DIALYSIS SAN JOSE,52572,0,65
DAVITA-DOWNEY DIALYSIS CENTER,52574,0,68
FMC-RAI-NORTH WATERMAN-SAN BERNARDINO,52575,0,63
FMC-BALBOA KEARNY MESA DIALYSIS CENTER,52576,0,60
RAI HARDING BLVD,52578,0,82
FMC-CONEJO VALLEY RENAL CENTER,52579,0,69
DAVITA-COVINA DIALYSIS CENTER,52580,0,64
U.S. RENAL CARE GARDENA DIALYSIS - REDONDO,52581,0.01,40
"ST. VINCENT DIALYSIS CENTER, INC.",52582,0.01,46
MONTEREY PENINSULA DIALYSIS,52583,0,74
NORTH MERCED DIALYSIS CENTER,52584,0,75
U.S. RENAL CARE VAN NUYS DIALYSIS,52585,0.01,48
BERKELEY DIALYSIS CENTER,52587,0,67
DAVITA-WEST HILLS DIALYSIS,52588,0.005,52
FMC-UNIVERSITY DIALYSIS CENTER OF ORANGE,52589,0.005,58
FMC-RAI-COMPTON-LOS ANGELES,52590,0.01,44
DAVITA-POMONA DIALYSIS,52591,0.005,55
DAVITA-MISSION VIEJO DIALYSIS,52597,0,76
DAVITA-BEVERLY HILLS DIALYSIS CENTER,52599,0.005,50
SATELLITE DIALYSIS SAN JOSE,52600,0.005,52
LAKEPORT DIALYSIS CENTER,52601,0,63
SALINAS DIALYSIS CENTER,52602,0,71
MANZANITA DIALYSIS CENTER,52604,0.005,49
"SANTA BARBARA ARTIFICIAL KIDNEY CENTER, LLC",52606,0,75
FRESNO DIALYSIS CENTER,52608,0.005,54
SATELLITE DIALYSIS SONORA,52609,0,90
RAI PIEDMONT,52610,0,60
